"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31155","deep-learning","992.24","1061.28","69.04","150","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.9216","1","1","1","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.28,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":1061.28,""ScoreFinal"":992.24}","Score>=MinimumScore","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","1"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33594","deep-learning","882.23","951.27","69.04","150","QueryCoverage excluded from Score (recommended).","True","0.2143","0","1","0.9052","1","1","1","Lang+Subdomain+Topic","{""Topic"":192.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":158.41,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":951.27,""ScoreFinal"":882.23}","Score>=MinimumScore","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python","2"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9379","deep-learning","880.31","923.1","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.8177","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":143.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":923.1,""ScoreFinal"":880.31}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series.","3"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11210","deep-learning","861.44","899.88","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.8565","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":149.88,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":899.88,""ScoreFinal"":861.44}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI","4"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44660","deep-learning","851.35","919.02","67.67","100","QueryCoverage excluded from Score (recommended).","True","0.1905","0","1","0.8434","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":171.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":147.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":919.02,""ScoreFinal"":851.35}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps.","5"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13565","deep-learning","851.27","897.75","46.48","50","QueryCoverage excluded from Score (recommended).","True","0.1562","0","1","0.8979","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":140.62,""Lexical"":0.0,""Lang"":250.0,""Stars"":157.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":897.75,""ScoreFinal"":851.27}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ","6"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10715","deep-learning","850.85","903.34","52.48","100","QueryCoverage excluded from Score (recommended).","True","0.1724","0","1","0.8467","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":155.17,""Lexical"":0.0,""Lang"":250.0,""Stars"":148.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.48,""ScoreBase"":903.34,""ScoreFinal"":850.85}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50","Refine high-quality datasets and visual AI models","7"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7794","deep-learning","849.79","892.59","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.1739","0","1","0.7775","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":156.52,""Lexical"":0.0,""Lang"":250.0,""Stars"":136.07,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":892.59,""ScoreFinal"":849.79}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","8"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20861","deep-learning","848.91","911.94","63.04","50","QueryCoverage excluded from Score (recommended).","True","0.1538","0","1","0.9913","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":138.46,""Lexical"":0.0,""Lang"":250.0,""Stars"":173.48,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":63.04,""ScoreBase"":911.94,""ScoreFinal"":848.91}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Open standard for machine learning interoperability","9"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9918","deep-learning","848.89","887.33","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.1579","0","1","0.8299","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":145.23,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":887.33,""ScoreFinal"":848.89}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library","10"
